,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence,cluster,song.0,song.1,song.2,song.3,song.4,song.5,song.6,song.7,song.8,song.9,X,Y
1813,2ktoFujjJtantyMoVdBJlX,0.0441,0.724,0.791,6.55E-06,0.239,0.283491382,1,0.169,0.846442758,0.856,2,25F6MWrnFBCXVnpN4n76EK,0s5DNDV6LAKn2u2Ufa3VjQ,2UxYLI09fvaxzKAcgudK7Z,4pcW7LTDhziSKYTGPiYAtG,6SzbbQUOx85hxpqsesoMfx,5FpLsvdRNgWSEBWHx2VIkH,2q4rjDy9WhaN3o9MvDbO21,6FopJmIHgp2ADIHEDrJixZ,3mcG2NI5G5vhrQtRda1YnA,0desJH8bu68LRIzBCe3Cnv,-0.355634333,-0.325388104
1814,3CNMpj3ow5t4JhpC4uop0w,0.658,0.596,0.475,0.00523,0.0956,0.452664117,0,0.0358,0.697074184,0.0574,1,2FVwknnpHnhReNADKlQcDl,25wBlLDFcspzo9gBqvrQr3,7mHRoiESmvHd4UIDr3a1xq,7hDVYcQq6MxkdJGweuCtl9,06GcodDliPWAYFX2LSFLIu,5p0UXw8VPvtgGEgBltcIwU,1Mza2sr6tPhy6jjI3HB9fW,3f8Uygfz3CIpUCo6H6iNOJ,1xQXquynIzr8mf2Pe3G1jX,7eEdZKfreDKafp0FuLKDET,0.573720818,0.485756198
1815,7uiBocndm12aKbsdnQ3Scx,0.172,0.441,0.527,0,0.233,0.278618955,1,0.0966,0.463446538,0.589,2,2hKdd3qO7cWr2Jo0Bcs0MA,6tjXDAAcde8XdIBt0j2uKX,7Il2yWQmsqKgSkLQvHTPUI,42fw0rxRO2xbesF6mJfd4Y,02f5iKhfXVvCWK641es1sT,567gPvGfxxKoZxDKqM9tEl,3T6MAweakkNrMYs8jZIWtg,2tDKzVSCR247hCBUm1sL7e,5WI0wR52v8MHv65GVwRRyE,2kLf4myxQME1Nd0voeKZri,-0.387287894,-0.050533226
1816,3cQmqM0awej9iAESjhKrI9,0.272,0.666,0.39,9.39E-06,0.111,0.449258658,1,0.0838,0.547585384,0.325,2,24qOlCdUSSU6ungmY6fZmi,13TMuxC8tdSfthXpHG9D26,2HsHyQP2DgYyBrOYG94Hzg,1sXUWdKx03aP9Gmzft58rt,4rxjhwPXkUyRAkMvQbVpZK,4azNvmimnwJnlTA2Jnobxv,7GbAp0HKPQW7WnFJAzMoRk,4gB61mP4tNChn4LgfquMhi,5sIx4BlfYGuZeSLF40N9GH,0BjB8OWvRDNzQtIOSmxSA1,-0.396167757,0.138910431
1817,2CvcVMkyBhXHD9d0QIpw4X,0.0115,0.809,0.581,0.000513,0.345,0.434536596,0,0.195,0.721109733,0.369,1,0QIjsbm2fh1cJ45XO9eGqq,2G1tXoGBaEMJ7FKGnkf6ud,7l94dyN2hX9c6wWcZQuOGJ,2771LMNxwf62FTAdpJMQfM,3GnLo84IkdSWCPYt6tnLll,7AYuSG1LoaaFVKjOxsB6Vh,0A5gdlrpAuQqZ2iFgnqBFW,2qT1uLXPVPzGgFOx4jtEuo,61sqsOPon94ecMskeEXwev,2gtiPRRrYyeHrkuvDnDIR5,0.635140186,-0.118784449
1818,4uf9vttaZb5rehtxzrL4Dx,0.0162,0.715,0.656,0.000501,0.0882,0.3224184,1,0.0259,0.605986285,0.423,2,2fZZPs9gwlUoAMJRayBWMk,5yOc7LHI9HIBRTWcLbGXXi,3dxvjyC8LJ5kH2iFqfne8j,2tzAN1L07SNwnOdgOEeuQr,6vMTckYma2XliqlxrNi7aR,6XcfKZvJio9Z0fQy11GnNX,6AvfZXpbb6r35DfF7gHPRq,1LIPyl9jbqlf7vBfTOFeoB,4L7kaptgY6py2G3nRW9BVQ,25fEK4DuevQJF0WVmAxTsr,-0.364182108,-0.241802025
1819,5hc71nKsUgtwQ3z52KEKQk,0.202,0.611,0.799,0.0277,0.123,0.299628019,1,0.0641,0.485895105,0.51,2,062OIZFRJTkXBAiyyw61W9,5QUsyhPk2WXnMQ0KwvyEp2,2Pph0CUJ8uksCBzV6iyuQF,4VbqIBiU5eoVlhfeWg0oGF,3AzvNvE3xpgelqmE5MRnbI,4hQ6UGyWQIGJmHSo0J88JW,0uSGTaHms9ceAxb7L6VLrU,3I7krC8kr0gFR7P6vInR1I,7BVJ7cNfCYjHBpJVCNwpnZ,514rhnksEwHUh6LxXsQ4Y9,-0.372819122,-0.161650641
1820,0kwbhAzmXoEfv1XAccsLGh,0.074,0.468,0.786,0,0.0828,0.32084665,1,0.0448,0.53999673,0.4,2,1hIupFeRu3nmMcjbjxPnMc,0IZ5R6Om6SWXxJ5BD7MKUa,73Jdi1pXMmpo5LcsSXiFLO,7pstxLUhvsJC3M4TxHe2aI,7ELW8QMNYkoxWskwXMD3WW,2nGlRyaeE9JF4L4TyAf3uJ,0maGllQEuiHk3UbOBLC05d,1Yi8XPnCPoimWwqxwm3uz9,7d06uajfr1DZUeKVCaE9BS,4tVybkClyH0hjL8jzMq3sH,-0.371553773,-0.245100749
1821,6cW48V8CKaYpSSHA9Eih2a,0.00698,0.78,0.49,2.56E-06,0.112,0.340545921,0,0.0444,0.668604707,0.524,1,75lcPkAkUsKWHGBlGM476R,61sqsOPon94ecMskeEXwev,6fq5GyXeT7kfzkK97b9rGC,59l0CeaA4LLngf30waUXWB,2UxnZEvavlFv9dTbfrkNnd,20iTeSpUmLkthcNqkuy32e,34aHsgRbN3WSRWf64rtYnj,0znetZf9bcVN1xjAhQ00LH,3GnLo84IkdSWCPYt6tnLll,3erpmncBhgjZhc7aghwbJV,0.627489341,-0.084365577
1822,0u2P5u6lvoDfwTYjAADbn4,0.934,0.351,0.296,0,0.095,0.529627495,0,0.0333,0.554404594,0.12,1,08Ovh180covBWO0CTnJhqz,3XpgLBx3TGuDIFV5gUaR0w,7EkMIQ2PzEzwQroLl6dUvw,3rSygnXIRbxtJ9suj12MqW,0zljdkHj9xLHtXsc844Vep,1emAqEEKHGpdFx6H2YJTiG,24jvD83UgLmrdGjhWTFslY,7hDVYcQq6MxkdJGweuCtl9,787DeFtoBTd0HdPCIIwbUH,7fS708BKUj1zNyejmuZxDb,0.536582537,0.84145264
